Step; State; Reward
0; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
1; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
2; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
3; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
4; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
5; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
6; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
7; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
8; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
9; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
10; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
11; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
12; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
13; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
14; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
15; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
16; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
17; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
18; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
19; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
20; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
21; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
22; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
23; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
24; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
25; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
26; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
27; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
28; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
29; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
30; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
31; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
32; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
33; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
34; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
35; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
36; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
37; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
38; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
39; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
40; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
41; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
42; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
43; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
44; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
45; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
46; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
47; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
48; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
49; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
50; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
51; [[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]; [0.]
52; [[0.006405 0.       0.       0.       0.       0.       0.       0.
604; [[ 0.4282 11.25    0.      0.4265  0.      0.     11.72   11.72    0.4265
   3.586   3.586   0.      0.      0.      0.      0.    ]]; [0.]
605; [[ 0.3545 11.33    0.      0.3542  0.      0.      9.375   9.39    0.3542
   2.074   2.074   0.      0.      0.      0.      0.    ]]; [0.]
606; [[0.4282 8.54   0.     0.4282 0.     0.     9.445  9.44   0.4282 3.205
  3.205  0.     0.     0.     0.     0.    ]]; [0.]
607; [[ 0.2057 11.305   0.      0.2054  0.      0.      9.36    9.36    0.2054
   3.504   3.504   0.      0.      0.      0.      0.    ]]; [0.]
608; [[0.4656 7.793  0.     0.472  0.     0.     9.43   9.43   0.472  2.463
  2.463  0.     0.     0.     0.     0.    ]]; [0.]
609; [[2.910e+00 1.173e+01 5.287e-03 2.991e-01 0.000e+00 2.908e-01 9.102e+00
  9.422e+00 2.991e-01 3.094e+00 3.098e+00 2.617e+00 0.000e+00 5.287e-03
  0.000e+00 2.981e-01]]; [0.]
610; [[3.3750e+00 1.0055e+01 1.1444e-04 2.1643e-01 1.1444e-04 1.0283e+00
  8.3672e+00 9.3984e+00 2.1643e-01 3.1582e+00 3.1582e+00 3.1582e+00
  1.1444e-04 1.1444e-04 1.1444e-04 1.0439e+00]]; [0.00467489]
611; [[ 0.4487 13.56    0.      0.4475  0.      2.285   9.46   11.75    0.4475
   3.615   3.615   0.      0.      0.      0.      2.287 ]]; [0.]
612; [[2.1106e-01 1.0359e+01 1.1444e-04 2.1033e-01 1.1444e-04 2.0947e-01
  9.1719e+00 9.3906e+00 2.1033e-01 3.6895e+00 3.6895e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 2.1265e-01]]; [0.00292768]
613; [[ 0.404 13.78   0.     0.404  0.     1.235 10.56  11.8    0.404  4.867
   4.867  0.     0.     0.     0.     1.236]]; [0.]
614; [[2.1228e-01 1.0203e+01 1.1444e-04 2.1216e-01 1.1444e-04 2.8101e-01
  9.1250e+00 9.4375e+00 2.1216e-01 5.5430e+00 5.5430e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 2.8418e-01]]; [0.00294327]
615; [[ 0.4763 14.01    0.      0.484   0.      1.628  10.17   11.87    0.484
   7.797   7.797   0.      0.      0.      0.      1.629 ]]; [0.]
616; [[2.1423e-01 1.0133e+01 1.1444e-04 2.1606e-01 1.1444e-04 7.8955e-01
  8.5938e+00 9.4609e+00 2.1606e-01 6.1211e+00 6.1211e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 8.0615e-01]]; [0.00295097]
617; [[0.446  8.266  0.     0.4539 0.     0.9375 8.46   9.484  0.4539 6.977
  6.977  0.     0.     0.     0.     0.954 ]]; [0.]
618; [[2.1155e-01 1.0469e+01 1.1444e-04 2.1082e-01 1.1444e-04 4.8657e-01
  8.8906e+00 9.5078e+00 2.1082e-01 8.9531e+00 8.9531e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 4.9683e-01]]; [0.00296611]
619; [[0.4695 9.25   0.     0.4678 0.     0.881  8.516  9.5    0.4678 8.52
  8.52   0.     0.     0.     0.     0.8984]]; [0.]
620; [[2.6318e-01 1.2672e+01 1.4305e-04 2.6318e-01 1.4305e-04 1.1084e+00
  1.0633e+01 1.1914e+01 2.6318e-01 1.0727e+01 1.0727e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.1318e+00]]; [0.00464306]
621; [[ 0.5503 10.305   0.      0.5503  0.      0.975   8.47    9.516   0.5503
   8.36    8.36    0.      0.      0.      0.      0.9863]]; [0.]
622; [[ 0.539 14.29   0.     0.539  0.     1.434 10.25  11.74   0.539 10.05
  10.05   0.     0.     0.     0.     1.446]]; [0.]
623; [[ 0.7373 11.67    0.      0.7397  0.      1.267  10.57   11.88    0.7397
  10.234  10.234   0.      0.      0.      0.      1.268 ]]; [0.]
624; [[ 0.3237 11.016   0.      0.3257  0.      1.697   7.51    9.35    0.3257
   7.24    7.24    0.      0.      0.      0.      1.73  ]]; [0.]
625; [[ 3.479 10.59   0.     3.482  0.     4.17   5.26  11.87   4.35   9.85
   4.99   0.     0.     0.     0.     4.21 ]]; [0.]
626; [[ 3.479 10.59   0.     3.482  0.     4.17   5.26  11.87   4.35   9.85
   4.99   0.     0.     0.     0.     4.21 ]]; [0.]
627; [[ 3.479 10.59   0.     3.482  0.     4.17   5.26  11.87   4.35   9.85
   4.99   0.     0.     0.     0.     4.21 ]]; [0.]
628; [[ 2.387 11.46   0.     2.389  0.     3.422  5.816  9.33   2.389  7.6
   5.57   0.     0.     0.     0.     3.473]]; [0.]
629; [[ 2.074 13.78   0.     2.074  0.     6.94   4.797 11.93   2.074  6.48
   4.72   0.     0.     0.     0.     7.066]]; [0.]
630; [[1.589 8.67  0.    1.589 0.    6.21  3.14  9.52  1.591 4.434 3.143 0.
  0.    0.    0.    6.34 ]]; [0.]
631; [[ 5.598 14.516  0.     5.598  0.     5.21   6.53  11.94   5.598 11.59
   6.26   0.     0.     0.     0.     5.33 ]]; [0.]
632; [[6.285 8.7   0.    6.29  0.    5.86  3.469 9.49  6.3   9.33  3.344 0.
  0.    0.    0.    5.99 ]]; [0.]
633; [[6.4609e+00 8.2109e+00 1.1444e-04 6.4609e+00 2.4033e-04 5.8516e+00
  3.4453e+00 9.3516e+00 6.4805e+00 9.1484e+00 3.2461e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 5.9023e+00]]; [0.00528581]
634; [[6.38  9.85  0.    6.39  0.    5.97  3.41  9.51  6.38  9.336 3.238 0.
  0.    0.    0.    6.094]]; [0.]
635; [[5.6211e+00 8.5781e+00 1.1444e-04 5.6328e+00 1.1444e-04 5.0000e+00
  4.4141e+00 9.4531e+00 5.6445e+00 9.1406e+00 4.0977e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 5.0508e+00]]; [0.00460017]
636; [[ 7.008 10.38   0.     8.75   0.     8.28   3.408  9.51   6.996  9.21
   2.436  0.     0.     0.     0.     8.46 ]]; [0.]
637; [[5.7422e+00 9.8750e+00 1.1444e-04 5.7422e+00 2.3086e+00 5.0977e+00
  4.2383e+00 1.1734e+01 8.0859e+00 9.2500e+00 6.3711e+00 1.1444e-04
  1.1444e-04 2.3086e+00 1.1444e-04 5.1992e+00]]; [0.00799978]
638; [[5.7422e+00 9.8750e+00 1.1444e-04 5.7422e+00 2.3086e+00 5.0977e+00
  4.2383e+00 1.1734e+01 8.0859e+00 9.2500e+00 6.3711e+00 1.1444e-04
  1.1444e-04 2.3086e+00 1.1444e-04 5.1992e+00]]; [0.]
639; [[ 5.22   9.31   0.     5.22   4.312  4.44   4.977 13.85   9.54   9.05
   8.81   0.     0.     4.312  0.     4.547]]; [0.]
640; [[2.7031e+00 1.0125e+01 1.1444e-04 2.7012e+00 6.6445e+00 1.7129e+00
  7.7734e+00 1.6094e+01 9.3281e+00 8.8047e+00 1.3734e+01 1.1444e-04
  1.1444e-04 6.6445e+00 1.1444e-04 1.7139e+00]]; [0.00860414]
641; [[ 0.7524 10.06    0.      0.75    8.2     0.      9.484  17.61    8.945
   9.12   17.31    0.      0.      8.2     0.      0.    ]]; [0.]
642; [[1.3330e+00 1.1945e+01 1.4305e-04 1.3477e+00 9.7500e+00 1.4305e-04
  1.1859e+01 2.1609e+01 1.1109e+01 1.1586e+01 2.1344e+01 1.4305e-04
  1.4305e-04 9.7578e+00 1.4305e-04 1.4305e-04]]; [0.00875357]
643; [[1.3330e+00 1.1945e+01 1.4305e-04 1.3477e+00 9.7500e+00 1.4305e-04
  1.1859e+01 2.1609e+01 1.1109e+01 1.1586e+01 2.1344e+01 1.4305e-04
  1.4305e-04 9.7578e+00 1.4305e-04 1.4305e-04]]; [0.]
644; [[ 0.721 10.82   0.     0.732  5.363  0.     9.48  14.83   6.09   9.24
  14.6    0.     0.     5.363  0.     0.   ]]; [0.]
645; [[3.9893e-01 9.9453e+00 1.1444e-04 4.0234e-01 1.1444e-04 1.1444e-04
  9.5000e+00 9.4922e+00 4.0234e-01 9.1875e+00 9.1875e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.0022642]
646; [[ 0.577 10.23   0.     0.577  0.     0.     9.49   9.5    0.577  9.05
   9.05   0.     0.     0.     0.     0.   ]]; [0.]
647; [[7.5352e+00 1.0172e+01 7.3203e+00 7.5781e+00 1.1444e-04 1.1444e-04
  9.4453e+00 1.6844e+01 7.9180e+00 8.9141e+00 1.6312e+01 1.1444e-04
  1.1444e-04 7.4102e+00 1.1444e-04 1.1444e-04]]; [0.00744219]
648; [[11.62  11.98  11.625 11.74   0.     0.    11.66  23.22  12.22   7.38
  18.92   0.     0.    11.58   0.     0.   ]]; [0.]
649; [[1.1906e+01 4.2456e-01 1.0398e+01 1.1891e+01 1.4305e-04 1.4305e-04
  1.3076e+00 1.3297e+01 1.2234e+01 1.1553e+00 1.3047e+01 1.4305e-04
  1.4305e-04 1.1898e+01 1.4305e-04 1.4305e-04]]; [0.00961398]
650; [[ 9.305  2.363  8.836  9.35   0.     0.     2.297 11.58   9.664  1.797
  11.14   0.     0.     9.38   0.     0.   ]]; [0.]
651; [[ 9.305  2.363  8.836  9.35   0.     0.     2.297 11.58   9.664  1.797
  11.14   0.     0.     9.38   0.     0.   ]]; [0.]
652; [[11.766 13.62  11.766 11.77   0.     0.    10.86  22.52  12.52   7.184
  18.95   0.     0.    11.78   0.     0.   ]]; [0.]
653; [[ 9.42   8.484  9.16   9.445  0.     0.     9.35  18.78  10.13   3.37
  12.8    0.     0.     9.43   0.     0.   ]]; [0.]
654; [[ 9.42   8.484  9.16   9.445  0.     0.     9.35  18.78  10.13   3.37
  12.8    0.     0.     9.43   0.     0.   ]]; [0.]
655; [[ 8.3   13.1    5.81   8.14   0.     0.     9.27  16.05   7.37   3.07
   9.99   0.     0.     6.746  0.     0.   ]]; [0.]
656; [[ 0.3667 16.4     0.      0.3667  0.      0.     11.055  11.14    0.3665
   6.406   6.406   0.      0.      0.      0.      0.    ]]; [0.]
657; [[0.5337 7.664  0.     0.5366 0.     0.     9.5    9.445  0.5317 5.543
  5.543  0.     0.     0.     0.     0.    ]]; [0.]
658; [[ 0.2418 11.83    0.      0.2418  0.      0.      9.43    9.49    0.2418
   7.29    7.29    0.      0.      0.      0.      0.    ]]; [0.]
659; [[ 0.5996  7.832   0.      0.5996  0.      0.     11.77   11.805   0.5996
   6.438   6.438   0.      0.      0.      0.      0.    ]]; [0.]
660; [[ 0.4006 11.016   0.      0.3992  0.      0.     11.65   11.695   0.3992
   2.463   2.463   0.      0.      0.      0.      0.    ]]; [0.]
661; [[0.364 8.73  0.    0.379 0.    0.    9.266 9.27  0.379 0.506 0.506 0.
  0.    0.    0.    0.   ]]; [0.]
662; [[2.6514e-01 9.8906e+00 1.1444e-04 2.7100e-01 1.1444e-04 1.1444e-04
  9.3906e+00 9.3906e+00 2.7075e-01 9.0210e-02 9.0210e-02 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.0022089]
663; [[ 0.6274 10.02    0.      0.6274  0.      0.     11.79   11.8     0.6274
   4.56    4.56    0.      0.      0.      0.      0.    ]]; [0.]
664; [[ 0.6274 10.02    0.      0.6274  0.      0.     11.79   11.8     0.6274
   4.56    4.56    0.      0.      0.      0.      0.    ]]; [0.]
665; [[4.0137e-01 1.0766e+01 1.1444e-04 4.0186e-01 1.1444e-04 1.1444e-04
  9.3984e+00 9.4219e+00 4.0186e-01 4.7344e+00 4.7344e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.00224772]
666; [[0.4507 9.625  0.     0.4507 0.     0.     9.445  9.46   0.4507 3.932
  3.932  0.     0.     0.     0.     0.    ]]; [0.]
667; [[4.648e-01 1.293e+01 1.431e-04 4.644e-01 1.431e-04 1.431e-04 1.175e+01
  1.176e+01 4.644e-01 3.668e+00 3.668e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.00349554]
668; [[ 0.3796 13.12    0.      0.379   0.      0.     11.72   11.77    0.379
   3.107   3.107   0.      0.      0.      0.      0.    ]]; [0.]
669; [[4.9146e-01 8.2969e+00 1.1444e-04 4.9023e-01 1.1444e-04 1.1444e-04
  9.4219e+00 9.4375e+00 4.9048e-01 3.2832e+00 3.2832e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.00227183]
670; [[ 0.4229 12.46    0.      0.428   0.      0.     11.85   11.805   0.4275
   9.9     9.9     0.      0.      0.      0.      0.    ]]; [0.]
671; [[2.2695e+00 1.3758e+01 1.4305e-04 2.2852e+00 1.4305e-04 1.6719e+00
  1.0141e+01 1.1945e+01 2.2852e+00 7.1602e+00 5.4883e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.6719e+00]]; [0.00542081]
672; [[4.17  8.586 0.    4.176 0.    3.586 5.914 9.5   4.176 5.387 1.802 0.
  0.    0.    0.    3.586]]; [0.]
673; [[1.7607e+00 1.0523e+01 1.1444e-04 1.7607e+00 1.1444e-04 1.5068e+00
  7.8945e+00 9.4609e+00 1.7607e+00 4.7344e+00 3.2012e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.5342e+00]]; [0.00342546]
674; [[ 3.24  12.99   0.     3.24   0.     2.652  9.12  11.84   3.24   8.9
   6.2    0.     0.     0.     0.     2.697]]; [0.]
675; [[3.1641e+00 1.3914e+01 1.4305e-04 3.1641e+00 1.4305e-04 2.8203e+00
  8.8594e+00 1.1836e+01 3.1641e+00 7.7695e+00 4.8906e+00 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 2.8828e+00]]; [0.00572242]
676; [[2.834 9.84  0.    2.832 0.    2.375 6.992 9.47  2.832 6.79  4.375 0.
  0.    0.    0.    2.416]]; [0.]
677; [[ 3.229 11.04   0.     3.229  0.     2.713  6.727  9.484  3.229  7.35
   4.605  0.     0.     0.     0.     2.746]]; [0.]
678; [[ 2.865 11.7    0.     2.873  0.     2.53   6.88   9.52   2.875  9.36
   6.78   0.     0.     0.     0.     2.58 ]]; [0.]
679; [[ 6.55   8.34   3.629  6.562  0.     2.543  6.562 12.59   6.78   9.07
   9.93   0.     0.     3.475  0.     2.568]]; [0.]
680; [[ 9.49   8.99   9.34   9.5    0.     0.     9.36  18.97  10.05   6.113
  15.6    0.     0.     9.53   0.     0.   ]]; [0.]
681; [[ 9.41   9.3   10.64   9.46   0.     0.     9.4   18.9   10.04   5.75
  15.2    0.     0.     9.445  0.     0.   ]]; [0.]
682; [[ 9.52   9.75   9.8    9.52   0.     0.     9.37  18.97   9.945  5.4
  14.92   0.     0.     9.52   0.     0.   ]]; [0.]
683; [[ 9.484 11.48   6.957  9.484  0.     0.     9.36  18.92  10.12   6.58
  16.06   0.     0.     9.484  0.     0.   ]]; [0.]
684; [[ 9.484 11.48   6.957  9.484  0.     0.     9.36  18.92  10.12   6.58
  16.06   0.     0.     9.484  0.     0.   ]]; [0.]
685; [[9.4453e+00 1.0141e+01 1.1609e+01 9.4453e+00 1.1444e-04 1.1444e-04
  9.3281e+00 1.8656e+01 9.9844e+00 5.8711e+00 1.5148e+01 1.1444e-04
  1.1444e-04 9.1953e+00 1.1444e-04 1.1444e-04]]; [0.00857306]
686; [[ 9.45    13.38     1.171    9.45     0.       7.98     0.10626 13.65
  14.19     8.15     5.438    0.       0.       5.35     0.       8.13   ]]; [0.]
687; [[9.4766e+00 8.5156e+00 1.1444e-04 9.4844e+00 1.1444e-04 9.3516e+00
  5.1422e-02 9.4609e+00 9.9922e+00 9.4219e+00 9.3536e-03 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 9.4375e+00]]; [0.00576594]
688; [[9.4766e+00 8.5156e+00 1.1444e-04 9.4844e+00 1.1444e-04 9.3516e+00
  5.1422e-02 9.4609e+00 9.9922e+00 9.4219e+00 9.3536e-03 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 9.4375e+00]]; [0.]
689; [[1.1820e+01 1.4648e+01 0.0000e+00 1.1812e+01 0.0000e+00 1.1469e+01
  3.3521e-01 1.1930e+01 1.2250e+01 1.1609e+01 1.4603e-02 0.0000e+00
  0.0000e+00 0.0000e+00 0.0000e+00 1.1484e+01]]; [0.]
690; [[2.8945e+00 7.7383e+00 1.1444e-04 2.8887e+00 1.1444e-04 2.0684e+00
  7.0391e+00 9.1094e+00 2.5391e+00 2.2012e+00 1.3184e-01 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 2.0703e+00]]; [0.00366283]
691; [[ 4.297  11.78    0.      4.297   0.      3.93    5.465   9.39    4.297
   4.41    0.4805  0.      0.      0.      0.      3.93  ]]; [0.]
692; [[ 4.297  11.78    0.      4.297   0.      3.93    5.465   9.39    4.297
   4.41    0.4805  0.      0.      0.      0.      3.93  ]]; [0.]
693; [[ 4.297  11.78    0.      4.297   0.      3.93    5.465   9.39    4.297
   4.41    0.4805  0.      0.      0.      0.      3.93  ]]; [0.]
694; [[2.3535e+00 8.5781e+00 1.1444e-04 2.3496e+00 5.6641e+00 1.6270e+00
  7.4805e+00 1.4750e+01 8.1797e+00 6.6602e+00 1.0695e+01 1.1444e-04
  1.1444e-04 5.6641e+00 1.1444e-04 1.6270e+00]]; [0.00782916]
695; [[2.3535e+00 8.5781e+00 1.1444e-04 2.3496e+00 5.6641e+00 1.6270e+00
  7.4805e+00 1.4750e+01 8.1797e+00 6.6602e+00 1.0695e+01 1.1444e-04
  1.1444e-04 5.6641e+00 1.1444e-04 1.6270e+00]]; [0.]
696; [[ 1.078 14.016  0.     1.077 10.734  0.    11.695 22.42  11.805  6.133
  16.86   0.     0.    10.73   0.     0.   ]]; [0.]
697; [[ 1.078 14.016  0.     1.077 10.734  0.    11.695 22.42  11.805  6.133
  16.86   0.     0.    10.73   0.     0.   ]]; [0.]
698; [[6.4453e-01 1.3695e+01 1.4305e-04 6.4453e-01 2.1797e+00 1.4305e-04
  1.1734e+01 1.3867e+01 2.6328e+00 8.4766e+00 1.0664e+01 1.4305e-04
  1.4305e-04 2.1855e+00 1.4305e-04 1.4305e-04]]; [0.00553489]
699; [[0.2205 9.984  0.     0.2205 0.     0.     9.414  9.414  0.2205 5.047
  5.047  0.     0.     0.     0.     0.    ]]; [0.]
700; [[0.2205 9.984  0.     0.2205 0.     0.     9.414  9.414  0.2205 5.047
  5.047  0.     0.     0.     0.     0.    ]]; [0.]
701; [[8.7031e+00 9.3047e+00 9.5938e+00 8.7344e+00 1.1444e-04 1.1444e-04
  9.2422e+00 1.7516e+01 8.9844e+00 2.8555e+00 1.1078e+01 1.1444e-04
  1.1444e-04 8.2422e+00 1.1444e-04 1.1444e-04]]; [0.00800087]
702; [[11.81  11.28  11.57  11.86   0.     0.    11.65  23.52  12.45   1.539
  13.39   0.     0.    11.87   0.     0.   ]]; [0.]
703; [[1.1898e+01 1.3547e+01 1.4516e+01 1.1914e+01 1.4305e-04 1.4305e-04
  1.1680e+01 2.3594e+01 1.2547e+01 3.1494e-01 1.2227e+01 1.4305e-04
  1.4305e-04 1.1906e+01 1.4305e-04 1.4305e-04]]; [0.01353977]
704; [[ 9.1   15.14   4.473  9.03   0.     0.     9.39  17.39   8.695  2.201
  10.195  0.     0.     7.9    0.     0.   ]]; [0.]
705; [[0.543 7.246 0.    0.542 0.    0.    9.47  9.41  0.542 7.117 7.117 0.
  0.    0.    0.    0.   ]]; [0.]
706; [[ 0.914   9.766   0.      0.914   0.      0.1732 11.734  11.93    0.914
   7.773   7.6     0.      0.      0.      0.      0.1732]]; [0.]
707; [[0.9243 9.695  0.     0.9243 0.     0.3374 9.15   9.484  0.9243 3.61
  3.271  0.     0.     0.     0.     0.3374]]; [0.]
708; [[ 0.9346 11.055   0.      0.9365  0.      0.536   8.98    9.51    0.9365
   7.133   6.594   0.      0.      0.      0.      0.536 ]]; [0.]
709; [[1.583 7.652 0.    1.592 0.    1.049 8.414 9.47  1.597 2.928 1.881 0.
  0.    0.    0.    1.047]]; [0.]
710; [[ 8.13  10.164  0.     8.13   0.     7.64   1.746  9.52   8.14   9.445
   1.668  0.     0.     0.     0.     7.78 ]]; [0.]
711; [[ 5.695 10.016  0.     5.7    0.     5.33   4.023  9.47   5.688  9.09
   3.648  0.     0.     0.     0.     5.44 ]]; [0.]
712; [[4.0430e+00 1.1523e+01 1.1444e-04 4.0469e+00 1.1444e-04 3.7305e+00
  5.6719e+00 9.4922e+00 4.0469e+00 7.4141e+00 3.6035e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 3.8125e+00]]; [0.00412981]
713; [[0.4404 8.695  0.     0.4404 0.     0.     9.46   9.42   0.4404 3.893
  3.893  0.     0.     0.     0.     0.    ]]; [0.]
714; [[2.7783e-01 1.0102e+01 1.1444e-04 2.7783e-01 1.1444e-04 1.1444e-04
  9.4609e+00 9.4609e+00 2.7783e-01 5.2344e+00 5.2344e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.0022288]
715; [[0.4026 9.695  0.     0.4028 0.     0.     9.484  9.484  0.4028 3.408
  3.408  0.     0.     0.     0.     0.    ]]; [0.]
716; [[3.594e-01 1.370e+01 1.431e-04 3.591e-01 3.014e-04 3.014e-04 1.178e+01
  1.178e+01 3.594e-01 5.531e+00 5.531e+00 1.431e-04 1.431e-04 1.431e-04
  1.431e-04 1.431e-04]]; [0.00399842]
